chr1	10468	11447	1
chr1	564449	570371	0
chr1	724136	727043	0
chr1	825006	825115	0
chr1	1815107	1815204	0
chr1	2583334	2634374	4
chr1	3639224	3639747	1
chr1	4363064	4363242	0
chr1	4417098	4417211	0
chr1	5725866	5736651	3
chr1	16393109	16393136	0
chr1	16839923	16841396	0
chr1	17562054	17562204	0
chr1	17568001	17568197	0
chr1	22699407	22699475	0
chr1	25483508	25483621	0
chr1	28242609	28242680	0
chr1	30802098	30802177	0
chr1	31254019	31254168	0
chr1	32833269	32833349	0
chr1	37315505	37315568	0
chr1	38077347	38077423	0
chr1	39354488	39354536	0
chr1	42779298	42779471	0
chr1	43045772	43046173	0
chr1	43215463	43215643	0
chr1	46902468	46902566	0
chr1	58281056	58281119	0
chr1	65613165	65613189	0
chr1	68458490	68458634	0
chr1	68461907	68462474	0
chr1	76240336	76240470	0
chr1	82699241	82699456	0
chr1	91852785	91853147	0
chr1	92972727	92972802	0
chr1	100271938	100272091	0
chr1	103237413	103237658	0
chr1	104163724	104163860	0
chr1	104403173	104417026	1
chr1	108112972	108113729	0
chr1	109786180	109786293	0
chr1	110622671	110622863	0
chr1	110797516	110797548	0
chr1	120543883	120544125	0
chr1	121351474	121487059	3
chr1	142535434	142543081	0
chr1	142723256	142723968	0
chr1	142792613	142793303	0
chr1	142835822	142837333	0
chr1	142967021	142967720	0
chr1	143243223	143243691	1
chr1	143274490	143284340	3
chr1	143344705	143345190	0
chr1	145277108	145277572	0
chr1	145994696	145994716	0
chr1	147281583	147281640	0
chr1	148927799	148928362	0
chr1	149033183	149035829	0
chr1	150239193	150239284	0
chr1	156186169	156186712	0
chr1	157139812	157139887	0
chr1	166640296	166640359	0
chr1	168795896	168796039	0
chr1	169878691	169878920	0
chr1	173690784	173690945	0
chr1	182181587	182181637	0
chr1	200428778	200428912	0
chr1	201225039	201227577	0
chr1	209402060	209402133	1
chr1	210639259	210639432	0
chr1	211799052	211799116	0
chr1	211799883	211800066	0
chr1	220269322	220269358	0
chr1	222522768	222522879	0
chr1	223192518	223192539	0
chr1	223381275	223381356	0
chr1	224199390	224204260	1
chr1	227874275	227874356	0
